"","GN","UnterGN","Quartal","Datum","Land","Wert","Verzeichnis","Signatur","Haupttyp","Untertyp","Zusatz","Herkunftsdatei"
"7104","12102",1,"12/01",2012-03-15,"Brasilien",228182,"GKV","2B201a|2B001b2","2","B","201a","Tracker"
"7105","12103",1,"12/01",2012-03-15,"Brasilien",228182,"GKV","2B201a1|2B001b2","2","B","201a1","Tracker"
"7106","12104",1,"12/01",2012-03-15,"Brasilien",206445,"GKV","2B201a1|2B001b2","2","B","201a1","Tracker"
"7107","12105",1,"12/01",2012-03-15,"Frankreich",600,"5.1","5.1","1","","","Tracker"
"7108","12106",1,"12/01",2012-03-16,"Thailand",348409,"GKV","2B201a1|2B001b2","2","B","201a1","Tracker"
"7109","12107",1,"12/01",2012-03-16,"China",452800,"GKV","2B201b1","2","B","201b1","Tracker"
"7110","12108",1,"12/01",2012-03-16,"China",452800,"GKV","2B201b1","2","B","201b1","Tracker"
"7111","12109",1,"12/01",2012-03-16,"China",452800,"GKV","2B201b1","2","B","201b1","Tracker"
"7112","12110",1,"12/01",2012-03-16,"China",452800,"GKV","2B201b1","2","B","201b1","Tracker"
"7113","12111",1,"12/01",2012-03-16,"Indien",6486,"5.1","5.1","1","","","Tracker"
"7114","12112",1,"12/01",2012-03-19,"Brasilien",169371,"GKV","6A005a6b2","6","A","005a6b2","Tracker"
"7115","12113",1,"12/01",2012-03-19,"Brasilien",431770,"GKV","2B201a|2B001b2","2","B","201a","Tracker"
"7116","12114",1,"12/01",2012-03-19,"Kuwait",1417,"5.1","5.1","1","","","Tracker"
"7117","12114",2,"12/01",2012-03-19,"Kuwait",4175,"5.1","5.1","1","","","Tracker"
"7118","12115",1,"12/01",2012-03-19,"Indien",2098300,"GKV","2B352b","2","B","352b","Tracker"
"7119","12116",1,"12/01",2012-03-19,"Indien",168000,"GKV","2B001a","2","B","001a","Tracker"
"7120","12117",1,"12/01",2012-03-20,"Serbien",8000,"GKV","2B201a1","2","B","201a1","Tracker"
"7121","12118",1,"12/01",2012-03-20,"Südkorea",336,"GKV","1C351d11","1","C","351d11","Tracker"
"7122","12118",2,"12/01",2012-03-20,"Südkorea",336,"GKV","1C351d11","1","C","351d11","Tracker"
"7123","12119",1,"12/01",2012-03-20,"Indonesien",43481,"GKV","3A002g2","3","A","002g2","Tracker"
"7124","12120",1,"12/01",2012-03-20,"Grossbritannien",1022,"GKV","1C351d11","1","C","351d11","Tracker"
"7125","12121",1,"12/01",2012-03-20,"Grossbritannien",255,"GKV","1C351d11","1","C","351d11","Tracker"
"7126","12121",2,"12/01",2012-03-20,"Grossbritannien",255,"GKV","1C351d11","1","C","351d11","Tracker"
"7127","12122",1,"12/01",2012-03-20,"Indonesien",43481,"GKV","3A002g2","3","A","002g2","Tracker"
"7128","12123",1,"12/01",2012-03-20,"Grossbritannien",255,"GKV","1C351d11","1","C","351d11","Tracker"
